smiles,smiles,ratio,value
C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C=CC(=O)O2,0.20:0.80,52
CCCCCCCCCC(=O)O,CCCCCCCCCCCC(=O)O,0.50:0.50,25.91
C[N+](C)(C)CC(=O)[O-],CC1=CC(=C(C=C1)C(C)C)O,0.60:0.40,153.25
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCC(=O)O,0.10:0.90,51.82
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],CC(O)=O,0.33:0.67,-20
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CC(C(=O)O)N)CN=C(N)N,0.11:0.89,26.16
C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.33:0.67,48
C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(=O)N,0.33:0.67,92
C[N+](C)(C)CCO.[Cl-],C1=COC(=C1)CO,0.25:0.75,-35.75
C[N+](C)(C)CCO.[Cl-],C(=S)(N)N,0.33:0.67,-40
C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O ,0.08:0.92,-19.52
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.50:0.50,13.05
C(#N)[S-].[NH4+],C(C(CO)O)O,0.20:0.80,-59.55
C[N+](C)(C)CCO.[Cl-],C(CN)N,0.33:0.67,24
C[N+](C)(C)CCO.[Cl-],C1=CN=CN1,0.30:0.70,56.12
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1.5:1,13.0
[Cl-].C[N+](C)(C)CCO,Cc1ccccc1O,1:3,-23.75
CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.70:0.30,12.72
C[N+](C)(C)CCO.[Cl-],CC1=C(C(=CC=C1)O)C,0.25:0.75,17.65
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NC(=O)C(F)(F)F,1:14,-66.78
CC(N(C)C)C(O)=O,OC(C(O)=O)c1ccccc1,1:1,13.0
CC[NH2+]C.[Cl-],C(=O)(N)N,0.40:0.60,32
Cl[Zn]Cl,C(=O)(N)N,0.20:0.80,-30
C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(CO)O,0.33:0.67,49.02
C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O,0.20:0.80,-10.15
C[N+](C)(C)CCO.[Cl-],C(C(C(CO)O)O)O,0.60:0.40,-8
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NC(=O)C(F)(F)F,1:1.5,58.40
CC(C)(C)NCCO.Cl,C(CO)O,0.25:0.75,-24.19
CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.10:0.90,11.61
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCC(O)CO,1:3,-41.64
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCC(=O)O,0.90:0.10,33.2
C[N+](C)(C)CCO.[Cl-],C(CO)O,0.17:0.83,0
[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,NC(=O)C(F)(F)F,1:5,129.90
Br[Zn]Br,CC(=O)[O-].C[N+](C)(C)CCO,0.67:0.33,48
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,0.75:0.25,183.43
CC1CCC(C(C1)O)C(C)C,CC1=CC(=C(C=C1)C(C)C)O,0.46:0.54,-7.75
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2:1,10.0
CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,CCCCCCCCCC(=O)O,0.40:0.60,-11.37
