smiles,smiles,ratio,temperature,value
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:3,323.15,1038.4
[Cl-].C[N+](C)(C)CCO,OCCOCCOCCO,1:2,343.15,1099.8
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,303.15,1275.0
[Cl-].C[N+](C)(C)CCO,OC(=O)CC(O)=O,1:2,343.15,1154.0
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:5.25,328.15,1198.0
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OC(=O)Cc1ccccc1,1:2,308.15,1033.9
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:5.25,313.15,1208.6
[Cl-].C[N+](C)(C)CCO,NC(N)=O,1:2,338.15,1177.0
[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1ccnc1,1:3,313.15,1151.7
[Cl-].CC[NH+](CC)CCO,OCC(O)CO,1:2.03,303.15,1170.0
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,CCC(O)=O,1:2,308.15,959.4
[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1cncn1,1:1,313.15,1124.9
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCOCCO,1:16,303.15,1138.8
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:4,368.15,1182.8
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:4,303.15,1030.9
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,343.15,1232.0
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2.5:1,328.15,1243.3
[Cl-].C[N+](C)(C)CCO,Cc1ccc(O)cc1,1:2,328.15,1044.0
[Cl-].C[N+](C)(C)CCO,CC(=O)CCC(O)=O,1:2,328.15,1118.0
[Cl-].C[N+](C)(C)CCO,Cc1ccc(cc1)[S](O)(=O)=O,1:1,303.15,1207.4
[Cl-].C[N+](C)(C)CCO,Oc1ccc(Cl)cc1,1:2,298.15,1198.8
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,1:1,308.15,1249.0
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:4,323.15,1030.6
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:2.03,303.15,1189.5
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,283.15,1122.9
[Br-].CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,OCC(O)CO,1:2,313.15,1032.7
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,323.15,1246.0
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCO,1:3,343.15,1097.0
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,1:1,353.15,1235.0
[Cl-].C[N+](C)(C)CCO,OCc1occc1,1:3,333.15,1112.0
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:2.03,363.15,1261.5
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OC(=O)Cc1ccccc1,1:2,288.15,1046.8
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2.5:1,348.15,1232.4
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,343.15,1254.0
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,1:1,333.15,1232.0
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:3,368.15,1248.6
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCC(O)CO,1:3,323.15,995.0
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,348.15,1241.0
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:3,333.15,1184.4
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,318.15,1212.0
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCOCCO,1:16,313.15,1131.3
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,298.15,1263.0
[Br-].CC[N+](CC)(CC)CC,CC(=O)CCC(O)=O,1:1,308.15,1166.0
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,1:1,328.15,1224.0
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCO,1:16,328.15,1121.0
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,OCCO,1:3,333.15,1039.0
