smiles,smiles,ratio,temperature,value,value,value
[Cl-].C[N+](C)(C)CCO,OCC(O)=O,1:1,318.15,1.183,2.2227164711475833,
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,OCC(O)CO,1:3,308.15,1.12381,3.0717347638797605,-0.7958800173440752
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,CC(O)C(O)=O,1:3,338.15,1.08854,2.0354297381845483,-0.4559319556497244
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,313.15,1.253,2.4730195783660998,
[Cl-].C[N+](C)(C)CCO,Oc1ccc(Cl)cc1,1:2,328.15,1.17282,1.458939861890326,
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2.5:1,328.15,1.2433,3.1029479680053735,
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,CC(=O)CCC(O)=O,1:3,333.15,1.07205,1.5295586730211632,0.14921911265537988
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,CCC(O)=O,1:2,293.15,0.96918,2.3283796034387376,-0.46470587995722945
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:2,283.15,1.2001,3.0017089694304824,
[Cl-].CC(=O)OCC[N+](C)(C)C,CC(=O)CCC(O)=O,1:3,333.15,1.11441,1.3318320444362486,0.5250448070368452
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCOCCOCCO,4:1,353.15,0.955,1.9995654882259823,-0.563837352959244
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,1:3,318.2,1.0795,1.2819419334408249,0.8305886686851442
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,338.15,1.214,1.577836341292744,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCOCCOCCO,3:1,323.15,0.978,2.9586116577648793,-0.8124792791635369
[Br-].CC[N+](CC)(CC)CC,CC(=O)CCC(O)=O,1:3,323.15,1.15456,1.4595432582804129,0.4899584794248346
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,298.15,1.272,3.3404500640388486,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCOCCOCCO,4:1,333.15,0.968,2.614053105987219,-0.5985994592184559
CC(=O)CCC(O)=O,OC(=O)[C@@H]1CCCN1,2:1,308.15,1.18976,2.8035253955765325,
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,1:1,343.15,1.215,2.0561804233421404,
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,313.15,1.248,2.486954433328225,
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1.5:1,348.15,1.2759,2.5478977175630972,
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,353.15,1.238,1.6748611407378116,
CC(=O)CCC(O)=O,OC(=O)[C@@H]1CCCN1,2:1,323.15,1.17869,2.3416323357780544,
